YEAR    DECJAN  JANFEB  FEBMAR  MARAPR  APRMAY  MAYJUN  JUNJUL  JULAUG  AUGSEP  SEPOCT  OCTNOV  NOVDEC
1975	-.538	-.6	-.879	-.959	-.841	-1.115	-1.519	-1.73	-1.874	-1.987	-1.773	-1.757
1976	-1.61	-1.392	-1.234	-1.18	-.486	.306	.615	.664	1.038	.946	.493	.55
1977	.521	.273	.139	.545	.318	.443	.866	.695	.8	.986	.975	.86
1978	.773	.899	.936	.191	-.381	-.575	-.433	-.2	-.389	-.02	.186	.388
1979	.6	.362	-.01	.292	.382	.453	.369	.625	.786	.678	.746	.989
1980	.672	.585	.689	.927	.966	.931	.749	.336	.281	.201	.251	.089
1981	-.262	-.151	.456	.671	.189	.004	-.048	-.088	.187	.112	-.038	-.141
1982	-.27	-.137	.103	.013	.445	.947	1.604	1.799	1.811	2.024	2.428	2.411
1983	2.683	2.91	3.012	2.808	2.538	2.255	1.763	1.178	.497	.038	-.132	-.188
1984	-.33	-.529	.139	.373	.189	-.023	-.084	-.154	-.106	.001	-.352	-.603
1985	-.561	-.595	-.709	-.472	-.715	-.14	-.143	-.367	-.526	-.139	-.059	-.293
1986	-.301	-.195	.028	-.099	.355	.301	.383	.775	1.088	.979	.873	1.19
1987	1.25	1.205	1.722	1.859	2.134	1.975	1.859	1.999	1.894	1.647	1.271	1.282
1988	1.119	.706	.491	.387	.196	-.556	-1.145	-1.303	-1.506	-1.326	-1.468	-1.328
1989	-1.12	-1.262	-1.054	-.763	-.402	-.216	-.459	-.497	-.311	-.341	-.073	.115
1990	.237	.563	.956	.469	.658	.527	.12	.131	.378	.285	.389	.348
1991	.313	.314	.402	.454	.748	1.074	1.023	1.024	.76	1.009	1.189	1.32
1992	1.743	1.87	1.991	2.258	2.112	1.75	1.018	.57	.497	.641	.582	.648
1993	.687	.974	.99	1.417	2.019	1.635	1.17	1.042	.992	1.069	.834	.589
1994	.353	.182	.157	.473	.585	.819	.88	.773	.908	1.407	1.299	1.237
1995	1.22	.946	.853	.469	.576	.53	.207	-.143	-.426	-.477	-.478	-.554
1996	-.612	-.58	-.238	-.386	-.044	.111	-.204	-.374	-.437	-.349	-.146	-.336
1997	-.49	-.621	-.252	.543	1.14	2.287	2.805	3.04	3.044	2.401	2.542	2.335
1998	2.466	2.761	2.755	2.661	2.237	1.356	.347	-.331	-.6	-.798	-1.086	-.922
1999	-1.053	-1.14	-.971	-.903	-.601	-.31	-.507	-.745	-.953	-.973	-1.05	-1.161
2000	-1.139	-1.21	-1.113	-.409	.257	.02	-.184	-.145	-.227	-.387	-.714	-.566
2001	-.505	-.661	-.56	-.055	.288	.071	.27	.338	-.165	-.275	-.153	.019
2002	.009	-.171	-.121	.414	.891	.945	.685	1.017	.908	1	1.09	1.145
2003	1.218	.935	.833	.421	.214	.131	.144	.316	.477	.516	.57	.351
2004	.327	.359	-.035	.374	.56	.327	.541	.627	.572	.508	.805	.667
2005	.32	.81	1.067	.637	.893	.612	.49	.352	.315	-.167	-.392	-.57
2006	-.438	-.424	-.527	-.575	.043	.546	.691	.759	.823	.955	1.286	.951
2007	.985	.528	.12	.02	.354	-.136	-.288	-.441	-1.181	-1.217	-1.165	-1.193
2008	-1.02	-1.388	-1.579	-.879	-.349	.164	.054	-.266	-.551	-.692	-.597	-.663
2009	-.726	-.707	-.723	-.105	.328	.779	1.035	1.067	.735	.909	1.121	1.045
2010	1.067	1.52	1.469	.99	.668	-.211	-1.156	-1.683	-1.868	-1.899	-1.49	-1.577
2011	-1.739	-1.563	-1.575	-1.399	-.202	.016	-.228	-.519	-.769	-.933	-.949	-.957
2012	-.993	-.695	-.398	.112	.769	.866	1.098	.619	.339	.081	.125	.094
2013	.096	-.08	-.037	.095	.203	-.078	-.355	-.48	-.133	.13	-.053	-.248
2014	-.275	-.266	.027	.312	1.01	1.057	.882	.954	.585	.438	.763	.558
2015	.42	.459	.631	.943	1.592	2.101	1.948	2.366	2.53	2.241	2.297	2.112
2016	2.227	2.169	1.984	2.124	1.77	1.069	.312	.175	-.101	-.379	-.212	-.121
2017	-.055	-.056	-.08	.77	1.455	1.049
